ENSG00000000003	ENSGGOG00000010003
ENSG00000091436	ENSGGOG00000005714
ENSG00000091482	ENSGGOG00000004353
ENSG00000091483	ENSGGOG00000009996
ENSG00000091490	ENSGGOG00000001417
ENSG00000091513	ENSGGOG00000010591
ENSG00000091536	ENSGGOG00000016179
ENSG00000091542	ENSGGOG00000016223
ENSG00000091583	ENSGGOG00000009261
ENSG00000091592	ENSGGOG00000011464
ENSG00000091622	ENSGGOG00000012316
ENSG00000091640	ENSGGOG00000009180
ENSG00000091651	ENSGGOG00000011804
ENSG00000091656	ENSGGOG00000024837
ENSG00000091664	ENSGGOG00000016918
ENSG00000091704	ENSGGOG00000002419
ENSG00000091732	ENSGGOG00000015504
ENSG00000091831	ENSGGOG00000009678
ENSG00000091844	ENSGGOG00000026033
ENSG00000091879	ENSGGOG00000010038
ENSG00000091947	ENSGGOG00000008328
ENSG00000091972	ENSGGOG00000012761
ENSG00000091986	ENSGGOG00000023833
ENSG00000092009	ENSGGOG00000015192
ENSG00000092010	ENSGGOG00000038444
ENSG00000092020	ENSGGOG00000012223
ENSG00000092036	ENSGGOG00000007504
ENSG00000092051	ENSGGOG00000014799
ENSG00000092054	ENSGGOG00000017139
ENSG00000092067	ENSGGOG00000007419
ENSG00000092068	ENSGGOG00000007423
ENSG00000092094	ENSGGOG00000002123
ENSG00000092108	ENSGGOG00000011007
ENSG00000092140	ENSGGOG00000001924
ENSG00000092148	ENSGGOG00000026552
ENSG00000092199	ENSGGOG00000023015
ENSG00000092200	ENSGGOG00000010820
ENSG00000092201	ENSGGOG00000002243
ENSG00000092203	ENSGGOG00000014655
ENSG00000092295	ENSGGOG00000016125
ENSG00000092330	ENSGGOG00000039746
ENSG00000092345	ENSGGOG00000023632
ENSG00000092421	ENSGGOG00000023232
ENSG00000092439	ENSGGOG00000027678
ENSG00000092445	ENSGGOG00000000802
ENSG00000092470	ENSGGOG00000006251
ENSG00000092529	ENSGGOG00000012597
ENSG00000092531	ENSGGOG00000015801
ENSG00000092607	ENSGGOG00000013468
ENSG00000092621	ENSGGOG00000010284
ENSG00000092758	ENSGGOG00000017028
ENSG00000092820	ENSGGOG00000013301
ENSG00000092847	ENSGGOG00000003316
ENSG00000092850	ENSGGOG00000003766
ENSG00000092853	ENSGGOG00000005981
ENSG00000092871	ENSGGOG00000004166
ENSG00000092929	ENSGGOG00000009219
ENSG00000092931	ENSGGOG00000014390
ENSG00000092964	ENSGGOG00000000194
ENSG00000092969	ENSGGOG00000004593
ENSG00000092978	ENSGGOG00000009440
ENSG00000093000	ENSGGOG00000025854
ENSG00000093009	ENSGGOG00000004116
ENSG00000093010	ENSGGOG00000006699
ENSG00000093072	ENSGGOG00000007790
ENSG00000093144	ENSGGOG00000024247
ENSG00000093167	ENSGGOG00000001784
ENSG00000093183	ENSGGOG00000012788
ENSG00000093217	ENSGGOG00000015018
ENSG00000094631	ENSGGOG00000004525
ENSG00000094755	ENSGGOG00000003834
ENSG00000094796	ENSGGOG00000036536
ENSG00000094804	ENSGGOG00000015493
ENSG00000094841	ENSGGOG00000011666
ENSG00000094880	ENSGGOG00000008867
ENSG00000094914	ENSGGOG00000015799
ENSG00000094916	ENSGGOG00000000041
ENSG00000094963	ENSGGOG00000008887
ENSG00000094975	ENSGGOG00000004171
ENSG00000095002	ENSGGOG00000007088
ENSG00000095015	ENSGGOG00000014603
ENSG00000095059	ENSGGOG00000013390
ENSG00000095066	ENSGGOG00000005558
ENSG00000095110	ENSGGOG00000024286
ENSG00000095139	ENSGGOG00000006162
ENSG00000095203	ENSGGOG00000004192
ENSG00000095209	ENSGGOG00000007210
ENSG00000095261	ENSGGOG00000005709
ENSG00000095303	ENSGGOG00000009372
ENSG00000095319	ENSGGOG00000015291
ENSG00000095321	ENSGGOG00000006412
ENSG00000095370	ENSGGOG00000011048
ENSG00000095380	ENSGGOG00000021976
ENSG00000095383	ENSGGOG00000014751
ENSG00000095397	ENSGGOG00000003758
ENSG00000095464	ENSGGOG00000004416
ENSG00000095539	ENSGGOG00000025153
ENSG00000095564	ENSGGOG00000007216
ENSG00000095574	ENSGGOG00000003823
ENSG00000095585	ENSGGOG00000001032
ENSG00000095587	ENSGGOG00000015595
ENSG00000095596	ENSGGOG00000009114
ENSG00000095627	ENSGGOG00000004250
ENSG00000095637	ENSGGOG00000010457
ENSG00000095713	ENSGGOG00000016011
ENSG00000095739	ENSGGOG00000004600
ENSG00000095752	ENSGGOG00000024621
ENSG00000095777	ENSGGOG00000006760
ENSG00000095787	ENSGGOG00000005639
ENSG00000095794	ENSGGOG00000003999
ENSG00000095906	ENSGGOG00000006254
ENSG00000095917	ENSGGOG00000014066
ENSG00000095951	ENSGGOG00000016169
ENSG00000095970	ENSGGOG00000015077
ENSG00000095981	ENSGGOG00000007626
ENSG00000096006	ENSGGOG00000010906
ENSG00000096060	ENSGGOG00000005367
ENSG00000096063	ENSGGOG00000013566
ENSG00000096070	ENSGGOG00000013411
ENSG00000096080	ENSGGOG00000006303
ENSG00000096088	ENSGGOG00000002688
ENSG00000096092	ENSGGOG00000000773
ENSG00000096093	ENSGGOG00000023504
ENSG00000096264	ENSGGOG00000001471
ENSG00000096395	ENSGGOG00000008134
ENSG00000096401	ENSGGOG00000006784
ENSG00000096433	ENSGGOG00000016235
ENSG00000096654	ENSGGOG00000004180
ENSG00000096696	ENSGGOG00000013213
ENSG00000096717	ENSGGOG00000010187
ENSG00000096746	ENSGGOG00000025378
ENSG00000096872	ENSGGOG00000007259
ENSG00000096968	ENSGGOG00000007243
ENSG00000096996	ENSGGOG00000003006
ENSG00000097007	ENSGGOG00000010586
ENSG00000097033	ENSGGOG00000042521
ENSG00000097046	ENSGGOG00000007545
ENSG00000097096	ENSGGOG00000002813
ENSG00000099139	ENSGGOG00000015095
ENSG00000099194	ENSGGOG00000001098
ENSG00000099203	ENSGGOG00000005979
ENSG00000099204	ENSGGOG00000000440
ENSG00000099219	ENSGGOG00000001865
ENSG00000099246	ENSGGOG00000008086
ENSG00000099250	ENSGGOG00000001496
ENSG00000099256	ENSGGOG00000014731
ENSG00000099260	ENSGGOG00000017060
ENSG00000099282	ENSGGOG00000007780
ENSG00000099284	ENSGGOG00000005947
ENSG00000099290	ENSGGOG00000014577
ENSG00000099308	ENSGGOG00000016175
ENSG00000099326	ENSGGOG00000012904
ENSG00000099330	ENSGGOG00000010983
ENSG00000099331	ENSGGOG00000009393
ENSG00000099337	ENSGGOG00000010031
ENSG00000099338	ENSGGOG00000016371
ENSG00000099341	ENSGGOG00000004458
ENSG00000099364	ENSGGOG00000003625
ENSG00000099365	ENSGGOG00000023808
ENSG00000099377	ENSGGOG00000016064
ENSG00000099381	ENSGGOG00000016052
ENSG00000099385	ENSGGOG00000005756
ENSG00000099399	ENSGGOG00000012305
ENSG00000099617	ENSGGOG00000002341
ENSG00000099622	ENSGGOG00000002338
ENSG00000099624	ENSGGOG00000002334
ENSG00000099625	ENSGGOG00000002328
ENSG00000099769	ENSGGOG00000006268
ENSG00000099783	ENSGGOG00000003498
ENSG00000099785	ENSGGOG00000025279
ENSG00000099797	ENSGGOG00000041066
ENSG00000099800	ENSGGOG00000003459
ENSG00000099804	ENSGGOG00000003256
ENSG00000099810	ENSGGOG00000012929
ENSG00000099812	ENSGGOG00000014872
ENSG00000099814	ENSGGOG00000006499
ENSG00000099817	ENSGGOG00000011267
ENSG00000099821	ENSGGOG00000023264
ENSG00000099822	ENSGGOG00000006884
ENSG00000099834	ENSGGOG00000008347
ENSG00000099840	ENSGGOG00000006577
ENSG00000099849	ENSGGOG00000015457
ENSG00000099860	ENSGGOG00000028478
ENSG00000099864	ENSGGOG00000014868
ENSG00000099866	ENSGGOG00000003248
ENSG00000099875	ENSGGOG00000027137
ENSG00000099889	ENSGGOG00000006706
ENSG00000099899	ENSGGOG00000000783
ENSG00000099901	ENSGGOG00000000784
ENSG00000099904	ENSGGOG00000000785
ENSG00000099910	ENSGGOG00000015856
ENSG00000099917	ENSGGOG00000004182
ENSG00000099937	ENSGGOG00000025380
ENSG00000099940	ENSGGOG00000001007
ENSG00000099942	ENSGGOG00000041529
ENSG00000099949	ENSGGOG00000025822
ENSG00000099953	ENSGGOG00000009074
ENSG00000099954	ENSGGOG00000015014
ENSG00000099956	ENSGGOG00000034931
ENSG00000099957	ENSGGOG00000003573
ENSG00000099958	ENSGGOG00000000850
ENSG00000099960	ENSGGOG00000003580
ENSG00000099968	ENSGGOG00000010551
ENSG00000099974	ENSGGOG00000044054
ENSG00000099985	ENSGGOG00000007173
ENSG00000099991	ENSGGOG00000001892
ENSG00000099992	ENSGGOG00000007181
ENSG00000099994	ENSGGOG00000001900
ENSG00000099995	ENSGGOG00000012631
ENSG00000099998	ENSGGOG00000005526
ENSG00000099999	ENSGGOG00000012657
ENSG00000100003	ENSGGOG00000012672
ENSG00000100012	ENSGGOG00000004262
ENSG00000100014	ENSGGOG00000012692
ENSG00000100023	ENSGGOG00000009792
ENSG00000100024	ENSGGOG00000002073
ENSG00000100027	ENSGGOG00000040446
ENSG00000100028	ENSGGOG00000015640
ENSG00000100029	ENSGGOG00000008530
ENSG00000100030	ENSGGOG00000011613
ENSG00000100031	ENSGGOG00000000999
ENSG00000100034	ENSGGOG00000000644
ENSG00000100036	ENSGGOG00000008764
ENSG00000100038	ENSGGOG00000023135
ENSG00000100053	ENSGGOG00000039263
ENSG00000100055	ENSGGOG00000008228
ENSG00000100056	ENSGGOG00000006187
ENSG00000100060	ENSGGOG00000013287
ENSG00000100065	ENSGGOG00000013292
ENSG00000100075	ENSGGOG00000006198
ENSG00000100077	ENSGGOG00000004757
ENSG00000100078	ENSGGOG00000002648
ENSG00000100079	ENSGGOG00000003754
ENSG00000100083	ENSGGOG00000014594
ENSG00000100084	ENSGGOG00000000992
ENSG00000100092	ENSGGOG00000011833
ENSG00000100095	ENSGGOG00000004972
ENSG00000100097	ENSGGOG00000011360
ENSG00000100099	ENSGGOG00000004984
ENSG00000100100	ENSGGOG00000005211
ENSG00000100104	ENSGGOG00000004994
ENSG00000100105	ENSGGOG00000017171
ENSG00000100106	ENSGGOG00000011366
ENSG00000100109	ENSGGOG00000004999
ENSG00000100116	ENSGGOG00000003987
ENSG00000100122	ENSGGOG00000013639
ENSG00000100124	ENSGGOG00000001486
ENSG00000100129	ENSGGOG00000027682
ENSG00000100138	ENSGGOG00000015898
ENSG00000100139	ENSGGOG00000008348
ENSG00000100142	ENSGGOG00000005213
ENSG00000100146	ENSGGOG00000022288
ENSG00000100147	ENSGGOG00000012055
ENSG00000100150	ENSGGOG00000039473
ENSG00000100151	ENSGGOG00000042445
ENSG00000100154	ENSGGOG00000034936
ENSG00000100162	ENSGGOG00000038045
ENSG00000100167	ENSGGOG00000008961
ENSG00000100170	ENSGGOG00000002960
ENSG00000100191	ENSGGOG00000028377
ENSG00000100196	ENSGGOG00000008303
ENSG00000100201	ENSGGOG00000008309
ENSG00000100206	ENSGGOG00000011215
ENSG00000100207	ENSGGOG00000000461
ENSG00000100209	ENSGGOG00000017121
ENSG00000100211	ENSGGOG00000013226
ENSG00000100216	ENSGGOG00000013230
ENSG00000100218	ENSGGOG00000016398
ENSG00000100219	ENSGGOG00000007154
ENSG00000100220	ENSGGOG00000011402
ENSG00000100221	ENSGGOG00000002091
ENSG00000100225	ENSGGOG00000017158
ENSG00000100226	ENSGGOG00000038424
ENSG00000100227	ENSGGOG00000014961
ENSG00000100234	ENSGGOG00000013242
ENSG00000100239	ENSGGOG00000012995
ENSG00000100241	ENSGGOG00000013005
ENSG00000100242	ENSGGOG00000037392
ENSG00000100243	ENSGGOG00000005448
ENSG00000100246	ENSGGOG00000013527
ENSG00000100249	ENSGGOG00000026866
ENSG00000100253	ENSGGOG00000013037
ENSG00000100258	ENSGGOG00000002426
ENSG00000100266	ENSGGOG00000016309
ENSG00000100271	ENSGGOG00000001849
ENSG00000100276	ENSGGOG00000012236
ENSG00000100280	ENSGGOG00000006479
ENSG00000100281	ENSGGOG00000014266
ENSG00000100284	ENSGGOG00000014272
ENSG00000100285	ENSGGOG00000011976
ENSG00000100288	ENSGGOG00000005629
ENSG00000100290	ENSGGOG00000000029
ENSG00000100292	ENSGGOG00000009660
ENSG00000100294	ENSGGOG00000000030
ENSG00000100296	ENSGGOG00000003767
ENSG00000100297	ENSGGOG00000009666
ENSG00000100299	ENSGGOG00000007285
ENSG00000100300	ENSGGOG00000010307
ENSG00000100302	ENSGGOG00000000861
ENSG00000100304	ENSGGOG00000010316
ENSG00000100307	ENSGGOG00000004873
ENSG00000100311	ENSGGOG00000015535
ENSG00000100312	ENSGGOG00000025349
ENSG00000100314	ENSGGOG00000003788
ENSG00000100316	ENSGGOG00000002326
ENSG00000100319	ENSGGOG00000003792
ENSG00000100320	ENSGGOG00000037332
ENSG00000100321	ENSGGOG00000040081
ENSG00000100324	ENSGGOG00000008015
ENSG00000100325	ENSGGOG00000004933
ENSG00000100330	ENSGGOG00000006257
ENSG00000100335	ENSGGOG00000010109
ENSG00000100336	ENSGGOG00000008063
ENSG00000100341	ENSGGOG00000024230
ENSG00000100342	ENSGGOG00000002011
ENSG00000100344	ENSGGOG00000005225
ENSG00000100345	ENSGGOG00000001852
ENSG00000100346	ENSGGOG00000010106
ENSG00000100347	ENSGGOG00000036849
ENSG00000100348	ENSGGOG00000028091
ENSG00000100350	ENSGGOG00000009214
ENSG00000100351	ENSGGOG00000001476
ENSG00000100353	ENSGGOG00000003428
ENSG00000100354	ENSGGOG00000008444
ENSG00000100359	ENSGGOG00000015169
ENSG00000100360	ENSGGOG00000010302
ENSG00000100362	ENSGGOG00000009478
ENSG00000100364	ENSGGOG00000001170
ENSG00000100365	ENSGGOG00000013139
ENSG00000100368	ENSGGOG00000026737
ENSG00000100372	ENSGGOG00000022781
ENSG00000100373	ENSGGOG00000007261
ENSG00000100376	ENSGGOG00000001710
ENSG00000100380	ENSGGOG00000026747
ENSG00000100385	ENSGGOG00000002259
ENSG00000100387	ENSGGOG00000003524
ENSG00000100393	ENSGGOG00000008201
ENSG00000100395	ENSGGOG00000013451
ENSG00000100399	ENSGGOG00000013462
ENSG00000100401	ENSGGOG00000013473
ENSG00000100403	ENSGGOG00000014138
ENSG00000100410	ENSGGOG00000001104
ENSG00000100412	ENSGGOG00000001107
ENSG00000100413	ENSGGOG00000038191
ENSG00000100416	ENSGGOG00000000203
ENSG00000100417	ENSGGOG00000025969
ENSG00000100418	ENSGGOG00000015877
ENSG00000100422	ENSGGOG00000003731
ENSG00000100425	ENSGGOG00000038194
ENSG00000100426	ENSGGOG00000009913
ENSG00000100427	ENSGGOG00000010103
ENSG00000100429	ENSGGOG00000014445
ENSG00000100433	ENSGGOG00000040990
ENSG00000100439	ENSGGOG00000007368
ENSG00000100441	ENSGGOG00000016189
ENSG00000100442	ENSGGOG00000013322
ENSG00000100445	ENSGGOG00000016196
ENSG00000100448	ENSGGOG00000013780
ENSG00000100450	ENSGGOG00000012428
ENSG00000100453	ENSGGOG00000012986
ENSG00000100461	ENSGGOG00000015707
ENSG00000100462	ENSGGOG00000010839
ENSG00000100473	ENSGGOG00000025198
ENSG00000100478	ENSGGOG00000003198
ENSG00000100479	ENSGGOG00000024205
ENSG00000100483	ENSGGOG00000012706
ENSG00000100485	ENSGGOG00000015477
ENSG00000100490	ENSGGOG00000015887
ENSG00000100503	ENSGGOG00000005976
ENSG00000100504	ENSGGOG00000016619
ENSG00000100505	ENSGGOG00000005604
ENSG00000100519	ENSGGOG00000002152
ENSG00000100522	ENSGGOG00000025060
ENSG00000100523	ENSGGOG00000012099
ENSG00000100526	ENSGGOG00000005725
ENSG00000100528	ENSGGOG00000013282
ENSG00000100532	ENSGGOG00000000676
ENSG00000100554	ENSGGOG00000001601
ENSG00000100557	ENSGGOG00000022506
ENSG00000100558	ENSGGOG00000002160
ENSG00000100565	ENSGGOG00000010758
ENSG00000100567	ENSGGOG00000015814
ENSG00000100568	ENSGGOG00000005620
ENSG00000100575	ENSGGOG00000037703
ENSG00000100577	ENSGGOG00000006215
ENSG00000100578	ENSGGOG00000023197
ENSG00000100580	ENSGGOG00000013168
ENSG00000100583	ENSGGOG00000022049
ENSG00000100591	ENSGGOG00000007832
ENSG00000100592	ENSGGOG00000012922
ENSG00000100593	ENSGGOG00000025400
ENSG00000100596	ENSGGOG00000011886
ENSG00000100599	ENSGGOG00000008161
ENSG00000100600	ENSGGOG00000008256
ENSG00000100601	ENSGGOG00000011055
ENSG00000100603	ENSGGOG00000026016
ENSG00000100604	ENSGGOG00000004543
ENSG00000100605	ENSGGOG00000004551
ENSG00000100612	ENSGGOG00000008367
ENSG00000100614	ENSGGOG00000010082
ENSG00000100625	ENSGGOG00000010018
ENSG00000100626	ENSGGOG00000010571
ENSG00000100628	ENSGGOG00000015416
ENSG00000100629	ENSGGOG00000013293
ENSG00000100632	ENSGGOG00000004751
ENSG00000100644	ENSGGOG00000003957
ENSG00000100647	ENSGGOG00000000300
ENSG00000100650	ENSGGOG00000016462
ENSG00000100652	ENSGGOG00000016470
ENSG00000100665	ENSGGOG00000016990
ENSG00000100678	ENSGGOG00000006263
ENSG00000100697	ENSGGOG00000003760
ENSG00000100711	ENSGGOG00000009593
ENSG00000100721	ENSGGOG00000004037
ENSG00000100722	ENSGGOG00000010278
ENSG00000100726	ENSGGOG00000005878
ENSG00000100731	ENSGGOG00000006196
ENSG00000100739	ENSGGOG00000013472
ENSG00000100744	ENSGGOG00000022402
ENSG00000100749	ENSGGOG00000004089
ENSG00000100764	ENSGGOG00000010620
ENSG00000100767	ENSGGOG00000002134
ENSG00000100784	ENSGGOG00000004254
ENSG00000100796	ENSGGOG00000015220
ENSG00000100802	ENSGGOG00000014548
ENSG00000100804	ENSGGOG00000026856
ENSG00000100811	ENSGGOG00000026332
ENSG00000100813	ENSGGOG00000007403
ENSG00000100814	ENSGGOG00000004586
ENSG00000100815	ENSGGOG00000000502
ENSG00000100823	ENSGGOG00000002128
ENSG00000100836	ENSGGOG00000039675
ENSG00000100842	ENSGGOG00000017117
ENSG00000100852	ENSGGOG00000002593
ENSG00000100865	ENSGGOG00000006071
ENSG00000100867	ENSGGOG00000001497
ENSG00000100883	ENSGGOG00000002926
ENSG00000100884	ENSGGOG00000015970
ENSG00000100888	ENSGGOG00000002251
ENSG00000100889	ENSGGOG00000015982
ENSG00000100890	ENSGGOG00000012248
ENSG00000100897	ENSGGOG00000038817
ENSG00000100902	ENSGGOG00000013201
ENSG00000100906	ENSGGOG00000009397
ENSG00000100908	ENSGGOG00000042039
ENSG00000100911	ENSGGOG00000016025
ENSG00000100916	ENSGGOG00000006388
ENSG00000100918	ENSGGOG00000016054
ENSG00000100926	ENSGGOG00000016091
ENSG00000100934	ENSGGOG00000001141
ENSG00000100938	ENSGGOG00000042880
ENSG00000100941	ENSGGOG00000024288
ENSG00000100949	ENSGGOG00000016137
ENSG00000100968	ENSGGOG00000008797
ENSG00000100979	ENSGGOG00000015947
ENSG00000100982	ENSGGOG00000013415
ENSG00000100983	ENSGGOG00000006950
ENSG00000100985	ENSGGOG00000013576
ENSG00000100987	ENSGGOG00000001283
ENSG00000100991	ENSGGOG00000039126
ENSG00000100994	ENSGGOG00000014285
ENSG00000100997	ENSGGOG00000014299
ENSG00000101000	ENSGGOG00000001019
ENSG00000101003	ENSGGOG00000002473
ENSG00000101004	ENSGGOG00000002477
ENSG00000101017	ENSGGOG00000007776
ENSG00000101019	ENSGGOG00000012109
ENSG00000101040	ENSGGOG00000013752
ENSG00000101049	ENSGGOG00000004338
ENSG00000101052	ENSGGOG00000016151
ENSG00000101057	ENSGGOG00000014308
ENSG00000101074	ENSGGOG00000005395
ENSG00000101076	ENSGGOG00000006988
ENSG00000101079	ENSGGOG00000012893
ENSG00000101082	ENSGGOG00000012883
ENSG00000101084	ENSGGOG00000012877
ENSG00000101096	ENSGGOG00000024518
ENSG00000101098	ENSGGOG00000013710
ENSG00000101104	ENSGGOG00000004584
ENSG00000101109	ENSGGOG00000003234
ENSG00000101115	ENSGGOG00000001832
ENSG00000101126	ENSGGOG00000003120
ENSG00000101132	ENSGGOG00000027337
ENSG00000101134	ENSGGOG00000002089
ENSG00000101138	ENSGGOG00000007205
ENSG00000101144	ENSGGOG00000003803
ENSG00000101146	ENSGGOG00000007789
ENSG00000101150	ENSGGOG00000000570
ENSG00000101152	ENSGGOG00000002082
ENSG00000101158	ENSGGOG00000006713
ENSG00000101160	ENSGGOG00000016618
ENSG00000101161	ENSGGOG00000016876
ENSG00000101162	ENSGGOG00000016621
ENSG00000101166	ENSGGOG00000004803
ENSG00000101180	ENSGGOG00000005654
ENSG00000101181	ENSGGOG00000005648
ENSG00000101182	ENSGGOG00000005634
ENSG00000101187	ENSGGOG00000007516
ENSG00000101188	ENSGGOG00000017017
ENSG00000101189	ENSGGOG00000017018
ENSG00000101190	ENSGGOG00000017041
ENSG00000101191	ENSGGOG00000001594
ENSG00000101193	ENSGGOG00000036471
ENSG00000101194	ENSGGOG00000001599
ENSG00000101197	ENSGGOG00000008343
ENSG00000101198	ENSGGOG00000008346
ENSG00000101199	ENSGGOG00000008353
ENSG00000101200	ENSGGOG00000027655
ENSG00000101203	ENSGGOG00000008361
ENSG00000101204	ENSGGOG00000008378
ENSG00000101210	ENSGGOG00000011319
ENSG00000101213	ENSGGOG00000011325
ENSG00000101216	ENSGGOG00000008653
ENSG00000101220	ENSGGOG00000016987
ENSG00000101222	ENSGGOG00000005824
ENSG00000101224	ENSGGOG00000011457
ENSG00000101230	ENSGGOG00000002698
ENSG00000101236	ENSGGOG00000014698
ENSG00000101246	ENSGGOG00000004799
ENSG00000101247	ENSGGOG00000006702
ENSG00000101251	ENSGGOG00000010201
ENSG00000101255	ENSGGOG00000007575
ENSG00000101265	ENSGGOG00000036959
ENSG00000101276	ENSGGOG00000005055
ENSG00000101280	ENSGGOG00000016849
ENSG00000101282	ENSGGOG00000006711
ENSG00000101290	ENSGGOG00000012340
ENSG00000101292	ENSGGOG00000014211
ENSG00000101294	ENSGGOG00000000991
ENSG00000101306	ENSGGOG00000011831
ENSG00000101307	ENSGGOG00000027980
ENSG00000101310	ENSGGOG00000022369
ENSG00000101311	ENSGGOG00000013823
ENSG00000101323	ENSGGOG00000004361
ENSG00000101327	ENSGGOG00000004354
ENSG00000101331	ENSGGOG00000043063
ENSG00000101333	ENSGGOG00000008419
ENSG00000101335	ENSGGOG00000024477
ENSG00000101336	ENSGGOG00000002861
ENSG00000101337	ENSGGOG00000010550
ENSG00000101342	ENSGGOG00000011327
ENSG00000101343	ENSGGOG00000014176
ENSG00000101346	ENSGGOG00000012867
ENSG00000101347	ENSGGOG00000011336
ENSG00000101349	ENSGGOG00000005110
ENSG00000101350	ENSGGOG00000012742
ENSG00000101361	ENSGGOG00000002886
ENSG00000101363	ENSGGOG00000022642
ENSG00000101365	ENSGGOG00000010029
ENSG00000101384	ENSGGOG00000011017
ENSG00000101391	ENSGGOG00000003253
ENSG00000101400	ENSGGOG00000008508
ENSG00000101405	ENSGGOG00000011857
ENSG00000101407	ENSGGOG00000012498
ENSG00000101412	ENSGGOG00000003588
ENSG00000101413	ENSGGOG00000004246
ENSG00000101417	ENSGGOG00000044115
ENSG00000101421	ENSGGOG00000007775
ENSG00000101425	ENSGGOG00000007530
ENSG00000101435	ENSGGOG00000015132
ENSG00000101438	ENSGGOG00000011108
ENSG00000101440	ENSGGOG00000026572
ENSG00000101443	ENSGGOG00000004175
ENSG00000101444	ENSGGOG00000014694
ENSG00000101445	ENSGGOG00000015667
ENSG00000101446	ENSGGOG00000043047
ENSG00000101447	ENSGGOG00000015675
ENSG00000101448	ENSGGOG00000044201
ENSG00000101452	ENSGGOG00000013960
ENSG00000101457	ENSGGOG00000004638
ENSG00000101460	ENSGGOG00000006431
ENSG00000101463	ENSGGOG00000000617
ENSG00000101464	ENSGGOG00000006437
ENSG00000101470	ENSGGOG00000024522
ENSG00000101473	ENSGGOG00000003057
ENSG00000101474	ENSGGOG00000001278
ENSG00000101489	ENSGGOG00000013920
ENSG00000101493	ENSGGOG00000003996
ENSG00000101542	ENSGGOG00000006915
ENSG00000101544	ENSGGOG00000003551
ENSG00000101546	ENSGGOG00000003131
ENSG00000101557	ENSGGOG00000003003
ENSG00000101558	ENSGGOG00000001682
ENSG00000101574	ENSGGOG00000000937
ENSG00000101577	ENSGGOG00000000330
ENSG00000101596	ENSGGOG00000017005
ENSG00000101605	ENSGGOG00000044057
ENSG00000101608	ENSGGOG00000011429
ENSG00000101624	ENSGGOG00000008528
ENSG00000101638	ENSGGOG00000013794
ENSG00000101639	ENSGGOG00000003293
ENSG00000101654	ENSGGOG00000005524
ENSG00000101665	ENSGGOG00000010554
ENSG00000101670	ENSGGOG00000000595
ENSG00000101680	ENSGGOG00000016323
ENSG00000101695	ENSGGOG00000036738
ENSG00000101745	ENSGGOG00000015949
ENSG00000101746	ENSGGOG00000004091
ENSG00000101751	ENSGGOG00000014321
ENSG00000101752	ENSGGOG00000012718
ENSG00000101773	ENSGGOG00000028381
ENSG00000101782	ENSGGOG00000036734
ENSG00000101811	ENSGGOG00000022267
ENSG00000101825	ENSGGOG00000003509
ENSG00000101842	ENSGGOG00000010576
ENSG00000101843	ENSGGOG00000002969
ENSG00000101844	ENSGGOG00000002971
ENSG00000101849	ENSGGOG00000007537
ENSG00000101850	ENSGGOG00000013718
ENSG00000101868	ENSGGOG00000016072
ENSG00000101871	ENSGGOG00000003756
ENSG00000101882	ENSGGOG00000013330
ENSG00000101883	ENSGGOG00000016112
ENSG00000101888	ENSGGOG00000013593
ENSG00000101890	ENSGGOG00000006763
ENSG00000101892	ENSGGOG00000006495
ENSG00000101901	ENSGGOG00000010402
ENSG00000101911	ENSGGOG00000008315
ENSG00000101916	ENSGGOG00000012324
ENSG00000101928	ENSGGOG00000003836
ENSG00000101935	ENSGGOG00000015174
ENSG00000101938	ENSGGOG00000002493
ENSG00000101940	ENSGGOG00000005870
ENSG00000101945	ENSGGOG00000027774
ENSG00000101951	ENSGGOG00000000239
ENSG00000101955	ENSGGOG00000007123
ENSG00000101958	ENSGGOG00000012652
ENSG00000101966	ENSGGOG00000008637
ENSG00000101972	ENSGGOG00000004109
ENSG00000101974	ENSGGOG00000001112
ENSG00000101977	ENSGGOG00000004477
ENSG00000101981	ENSGGOG00000000618
ENSG00000101986	ENSGGOG00000005561
ENSG00000101997	ENSGGOG00000000912
ENSG00000102001	ENSGGOG00000000907
ENSG00000102003	ENSGGOG00000001279
ENSG00000102007	ENSGGOG00000024000
ENSG00000102010	ENSGGOG00000015925
ENSG00000102024	ENSGGOG00000008810
ENSG00000102030	ENSGGOG00000009788
ENSG00000102032	ENSGGOG00000009791
ENSG00000102034	ENSGGOG00000015859
ENSG00000102038	ENSGGOG00000012841
ENSG00000102043	ENSGGOG00000015976
ENSG00000102048	ENSGGOG00000003036
ENSG00000102053	ENSGGOG00000024638
ENSG00000102054	ENSGGOG00000037407
ENSG00000102055	ENSGGOG00000038310
ENSG00000102057	ENSGGOG00000002727
ENSG00000102078	ENSGGOG00000005319
ENSG00000102081	ENSGGOG00000010373
ENSG00000102096	ENSGGOG00000011440
ENSG00000102098	ENSGGOG00000015959
ENSG00000102100	ENSGGOG00000011437
ENSG00000102103	ENSGGOG00000011431
ENSG00000102104	ENSGGOG00000023949
ENSG00000102109	ENSGGOG00000004538
ENSG00000102119	ENSGGOG00000009388
ENSG00000102125	ENSGGOG00000011947
ENSG00000102144	ENSGGOG00000017111
ENSG00000102145	ENSGGOG00000023559
ENSG00000102158	ENSGGOG00000010342
ENSG00000102172	ENSGGOG00000040766
ENSG00000102178	ENSGGOG00000013509
ENSG00000102181	ENSGGOG00000005022
ENSG00000102189	ENSGGOG00000005235
